Entity,Code,Year,"8.3.1 - Proportion of informal employment, by sector and sex (ILO harmonized estimates) (%) - SL_ISV_IFEM - Female - Non-agriculture"
Tanzania,TZA,2014,76.1
Thailand,THA,2014,62.9
Thailand,THA,2015,61.8
Thailand,THA,2016,63.5
Thailand,THA,2017,54
Thailand,THA,2018,53
Timor,TLS,2010,69.8
Timor,TLS,2013,57.2
Togo,TGO,2017,94.3
Tonga,TON,2018,75.2
Turkey,TUR,2000,29.4
Turkey,TUR,2001,29.6
Turkey,TUR,2002,32.8
Turkey,TUR,2003,32.8
Turkey,TUR,2004,35.8
Turkey,TUR,2005,37.7
Turkey,TUR,2006,37.3
Turkey,TUR,2007,33.7
Turkey,TUR,2008,30.5
Turkey,TUR,2009,32.8
Turkey,TUR,2010,32.1
Turkey,TUR,2011,31.3
Turkey,TUR,2012,28.5
Turkey,TUR,2013,27.2
Turkey,TUR,2014,27.2
Turkey,TUR,2015,25.6
Turkey,TUR,2016,25.4
Turkey,TUR,2017,26.1
Turkey,TUR,2018,26.2
Turkey,TUR,2019,25.3
Turkey,TUR,2020,21.2
Uganda,UGA,2012,86.2
Uganda,UGA,2017,87
Uruguay,URY,2006,42.6
Uruguay,URY,2007,42.3
Uruguay,URY,2008,41.1
Uruguay,URY,2009,40.2
Uruguay,URY,2010,39.6
Uruguay,URY,2011,36.1
Uruguay,URY,2012,33.9
Uruguay,URY,2013,32.5
Uruguay,URY,2014,23.2
Uruguay,URY,2015,23.3
Uruguay,URY,2016,23.6
Uruguay,URY,2017,22.6
Uruguay,URY,2018,22.4
Uruguay,URY,2019,22.9
Uruguay,URY,2020,19.2
Vanuatu,VUT,2019,55.3
Vietnam,VNM,2007,64.7
Vietnam,VNM,2009,64
Vietnam,VNM,2013,59.7
Vietnam,VNM,2014,54.9
Vietnam,VNM,2015,53.4
Vietnam,VNM,2016,52.5
Vietnam,VNM,2017,51.5
Vietnam,VNM,2018,50.2
Vietnam,VNM,2019,49.2
Vietnam,VNM,2020,49.4
Vietnam,VNM,2021,49.7
World,OWID_WRL,2019,44.4
Yemen,YEM,2014,63.4
Zambia,ZMB,2017,72.8
Zambia,ZMB,2018,73.8
Zambia,ZMB,2019,76.4
Zimbabwe,ZWE,2011,72.9
Zimbabwe,ZWE,2014,72.8
Zimbabwe,ZWE,2019,75.1
